"Date","Price","Open","High","Low","Vol.","Change %"
"10/03/2025","6.85","6.84","6.89","6.81","2.88M","0.15%"
"10/02/2025","6.84","6.85","6.92","6.80","2.59M","-0.73%"
"10/01/2025","6.89","6.97","6.98","6.85","4.02M","-0.86%"
"09/30/2025","6.95","7.02","7.02","6.91","5.34M","-0.57%"
"09/29/2025","6.99","6.92","7.01","6.91","4.50M","1.90%"
"09/26/2025","6.86","7.11","7.11","6.76","6.40M","0.18%"
"09/25/2025","6.85","6.96","7.02","6.84","7.85M","-1.98%"
"09/24/2025","6.99","7.02","7.07","6.96","4.28M","-0.98%"
"09/23/2025","7.06","7.00","7.09","6.95","4.32M","1.28%"
"09/22/2025","6.97","7.03","7.05","6.87","4.72M","-1.12%"
"09/19/2025","7.05","6.99","7.05","6.93","7.79M","0.22%"
"09/18/2025","7.03","7.11","7.11","6.97","9.11M","-0.71%"
"09/17/2025","7.08","7.01","7.15","6.96","5.20M","0.71%"
"09/16/2025","7.03","7.01","7.05","6.92","3.50M","0.43%"
"09/15/2025","7.00","6.94","7.07","6.94","3.72M","-0.57%"
"09/12/2025","7.04","7.05","7.05","6.90","3.64M","-0.28%"
"09/11/2025","7.06","6.95","7.12","6.93","3.01M","0.71%"
"09/10/2025","7.01","7.06","7.07","6.89","6.36M","-0.71%"
"09/09/2025","7.06","7.12","7.12","7.00","6.70M","-1.12%"
"09/08/2025","7.14","7.28","7.32","7.10","2.97M","-1.92%"
"09/05/2025","7.28","7.18","7.39","7.18","3.66M","1.39%"
"09/04/2025","7.18","7.04","7.18","7.02","2.55M","2.13%"
"09/03/2025","7.03","7.04","7.14","7.00","3.85M","-0.42%"
"09/02/2025","7.06","7.13","7.15","7.02","2.77M","-1.40%"
"09/01/2025","7.16","7.32","7.32","7.15","1.59M","-1.92%"
"08/29/2025","7.30","7.21","7.37","7.16","4.10M","0.69%"
"08/28/2025","7.25","7.04","7.33","7.04","5.36M","3.57%"
"08/27/2025","7.00","6.97","7.04","6.89","3.15M","1.01%"
"08/26/2025","6.93","6.91","6.98","6.91","1.48M","0.29%"
"08/25/2025","6.91","7.00","7.04","6.91","2.17M","-0.43%"
"08/22/2025","6.94","6.78","7.01","6.77","4.96M","2.36%"
"08/21/2025","6.78","6.87","6.90","6.74","6.11M","-0.88%"
"08/20/2025","6.84","6.77","6.88","6.70","4.19M","1.03%"
"08/19/2025","6.77","7.02","7.04","6.77","3.23M","-4.24%"
"08/18/2025","7.07","7.05","7.16","7.02","2.32M","0.43%"
"08/15/2025","7.04","7.00","7.04","6.90","4.86M","0.00%"
"08/14/2025","7.04","7.06","7.10","6.91","7.03M","-0.98%"
"08/13/2025","7.11","7.59","7.60","7.02","23.63M","-6.94%"
"08/12/2025","7.64","7.49","7.68","7.49","2.28M","2.00%"
"08/11/2025","7.49","7.59","7.62","7.45","2.15M","-1.19%"
"08/08/2025","7.58","7.74","7.74","7.58","2.23M","-1.04%"
"08/07/2025","7.66","7.59","7.73","7.53","1.71M","1.19%"
"08/06/2025","7.57","7.37","7.58","7.34","2.86M","2.71%"
"08/05/2025","7.37","7.33","7.42","7.28","1.62M","0.00%"
"08/04/2025","7.37","7.39","7.39","7.22","3.00M","0.00%"
"08/01/2025","7.37","7.34","7.47","7.27","2.99M","0.55%"
"07/31/2025","7.33","7.37","7.41","7.27","2.20M","-1.35%"
"07/30/2025","7.43","7.35","7.45","7.23","2.79M","1.36%"
"07/29/2025","7.33","7.36","7.39","7.26","2.47M","-0.41%"
"07/28/2025","7.36","7.58","7.60","7.35","10.16M","-2.90%"
"07/25/2025","7.58","7.44","7.58","7.35","4.42M","2.02%"
"07/24/2025","7.43","7.65","7.65","7.38","3.19M","-2.37%"
"07/23/2025","7.61","7.52","7.68","7.50","1.21M","1.33%"
"07/22/2025","7.51","7.64","7.65","7.51","2.60M","-1.31%"
"07/21/2025","7.61","7.72","7.74","7.58","1.91M","-1.30%"
"07/18/2025","7.71","7.92","7.92","7.69","6.02M","-2.65%"
"07/17/2025","7.92","7.91","7.95","7.73","4.02M","0.25%"
"07/16/2025","7.90","7.83","7.98","7.68","4.45M","1.28%"
"07/15/2025","7.80","7.77","7.84","7.70","4.66M","0.65%"
"07/14/2025","7.75","7.92","7.95","7.69","2.67M","-2.52%"
"07/11/2025","7.95","7.95","8.06","7.91","2.03M","-0.75%"
"07/10/2025","8.01","7.85","8.08","7.85","3.01M","0.75%"
"07/09/2025","7.95","8.15","8.15","7.89","3.98M","-2.09%"
"07/08/2025","8.12","7.98","8.13","7.98","2.49M","1.25%"
"07/07/2025","8.02","8.08","8.15","7.99","2.00M","-0.74%"
"07/04/2025","8.08","8.05","8.15","7.96","1.14M","0.50%"
"07/03/2025","8.04","7.96","8.15","7.95","4.28M","1.64%"
"07/02/2025","7.91","8.24","8.27","7.85","5.74M","-3.77%"
"07/01/2025","8.22","8.17","8.38","8.15","4.34M","0.61%"
"06/30/2025","8.17","7.91","8.22","7.79","6.48M","3.42%"
"06/27/2025","7.90","7.93","7.95","7.82","2.23M","-0.54%"
"06/26/2025","7.94","7.82","7.98","7.82","1.99M","1.91%"
"06/25/2025","7.79","7.88","7.88","7.70","1.99M","-0.88%"
"06/24/2025","7.86","7.69","7.89","7.65","3.28M","2.59%"
"06/23/2025","7.67","7.65","7.69","7.54","2.90M","0.00%"
"06/20/2025","7.67","7.84","7.85","7.64","5.75M","-3.58%"
"06/18/2025","7.95","8.00","8.04","7.85","2.81M","-0.63%"
"06/17/2025","8.00","7.86","8.02","7.86","3.08M","1.01%"
