index,date,open,high,low,close,volume,Name
0,2025-03-10,6.84,6.89,6.81,6.85,2.88,GMAT3
1,2025-02-10,6.85,6.92,6.8,6.84,2.59,GMAT3
2,2025-01-10,6.97,6.98,6.85,6.89,4.02,GMAT3
3,2025-09-30,7.02,7.02,6.91,6.95,5.34,GMAT3
4,2025-09-29,6.92,7.01,6.91,6.99,4.5,GMAT3
5,2025-09-26,7.11,7.11,6.76,6.86,6.4,GMAT3
6,2025-09-25,6.96,7.02,6.84,6.85,7.85,GMAT3
7,2025-09-24,7.02,7.07,6.96,6.99,4.28,GMAT3
8,2025-09-23,7.0,7.09,6.95,7.06,4.32,GMAT3
9,2025-09-22,7.03,7.05,6.87,6.97,4.72,GMAT3
10,2025-09-19,6.99,7.05,6.93,7.05,7.79,GMAT3
11,2025-09-18,7.11,7.11,6.97,7.03,9.11,GMAT3
12,2025-09-17,7.01,7.15,6.96,7.08,5.2,GMAT3
13,2025-09-16,7.01,7.05,6.92,7.03,3.5,GMAT3
14,2025-09-15,6.94,7.07,6.94,7.0,3.72,GMAT3
15,2025-12-09,7.05,7.05,6.9,7.04,3.64,GMAT3
16,2025-11-09,6.95,7.12,6.93,7.06,3.01,GMAT3
17,2025-10-09,7.06,7.07,6.89,7.01,6.36,GMAT3
18,2025-09-09,7.12,7.12,7.0,7.06,6.7,GMAT3
19,2025-08-09,7.28,7.32,7.1,7.14,2.97,GMAT3
20,2025-05-09,7.18,7.39,7.18,7.28,3.66,GMAT3
21,2025-04-09,7.04,7.18,7.02,7.18,2.55,GMAT3
22,2025-03-09,7.04,7.14,7.0,7.03,3.85,GMAT3
23,2025-02-09,7.13,7.15,7.02,7.06,2.77,GMAT3
24,2025-01-09,7.32,7.32,7.15,7.16,1.59,GMAT3
25,2025-08-29,7.21,7.37,7.16,7.3,4.1,GMAT3
26,2025-08-28,7.04,7.33,7.04,7.25,5.36,GMAT3
27,2025-08-27,6.97,7.04,6.89,7.0,3.15,GMAT3
28,2025-08-26,6.91,6.98,6.91,6.93,1.48,GMAT3
29,2025-08-25,7.0,7.04,6.91,6.91,2.17,GMAT3
30,2025-08-22,6.78,7.01,6.77,6.94,4.96,GMAT3
31,2025-08-21,6.87,6.9,6.74,6.78,6.11,GMAT3
32,2025-08-20,6.77,6.88,6.7,6.84,4.19,GMAT3
33,2025-08-19,7.02,7.04,6.77,6.77,3.23,GMAT3
34,2025-08-18,7.05,7.16,7.02,7.07,2.32,GMAT3
35,2025-08-15,7.0,7.04,6.9,7.04,4.86,GMAT3
36,2025-08-14,7.06,7.1,6.91,7.04,7.03,GMAT3
